#========================================================================================================																				
#	Gmacs	Main	Data	File	Version	1.1:	BBRKC	Example												
#	Fisheries:	1	Pot	Fishery,	2	Pot	Discard,	3	Trawl	by-catch										
#	Surveys:	1	NMFS	Trawl	Survey,	2	BSFRF	Survey												
#========================================================================================================																				
1976	#	Start	year																	
2014	#	End	year																	
1	    #	Time-step	(years)																	
6	    #	Number	of	distinct	data	groups	(among	fishing	fleets	and	surveys)									
	2008	1	6	1	1	2	0	100	0.1898	0	0.0359	0.0339	0.0155	0.0092
	2009	1	6	1	1	1	0	100	0.0706	0.1336	0.3511	0.2023	0.084	0.0134	
	2009	1	6	1	1	2	0	100	0.0706	0	0.0019	0.0382	0.0992	0.0057
	2010	1	6	1	1	1	0	100	0.047	0.1357	0.2157	0.2452	0.113	0.0191	
	2010	1	6	1	1	2	0	100	0.047	0	0.0591	0.1009	0.0539	0.0104
	2011	1	6	1	1	1	0	100	0.0786	0.1368	0.2103	0.1744	0.1333	0.0513	
	2011	1	6	1	1	2	0	100	0.0786	0.012	0.0325	0.1128	0.0462	0.012
	2012	1	6	1	1	1	0	100	0.1155	0.234	0.1945	0.1246	0.1292	0.0456	
	2012	1	6	1	1	2	0	100	0.1155	0.003	0.0912	0.0532	0.0532	0.035
#length	proportions	of	Comercial	male	 Discards															
##	Year	Seas	Fleet	Sex	Type	Shell	Maturity	Nsamp	DataVec											
	1987	1	4	1	2	1	0	100	0.2026	0.3625	0.3522	0.0344	0	0	
	1987	1	4	1	2	2	0	100	0.2026	0	0.0437	0.0046	0	0
	1988	1	4	1	2	1	0	100	0.052	0.184	0.4831	0.139	0	0	
	1988	1	4	1	2	2	0	100	0.052	0	0.0969	0.0449	0	0
	1989	1	4	1	2	1	0	100	0.2492	0.3392	0.2371	0.0274	0	0	
	1989	1	4	1	2	2	0	100	0.2492	0	0.1196	0.0274	0	0
	1990	1	4	1	2	1	0	100	0.2702	0.3203	0.3028	0.0414	0	0	
	1990	1	4	1	2	2	0	100	0.2702	0	0.0588	0.0065	0	0
	1992	1	4	1	2	1	0	100	0.2175	0.3592	0.332	0.0369	0	0	
	1992	1	4	1	2	2	0	100	0.2175	0	0.0447	0.0097	0	0
	1994	1	4	1	2	1	0	100	0.1556	0.303	0.1736	0.0262	0	0	
	1994	1	4	1	2	2	0	100	0.1556	0	0.2824	0.0592	0	0
	2012	1	4	1	2	1	0	100	0.1396	0.2398	0.4106	0.1314	0.0122	0	
	2012	1	4	1	2	2	0	100	0.1396	0.0027	0.0298	0.0285	0.0014	0.0014
	2013	1	4	1	2	1	0	100	0.4379	0.2352	0.252	0.0639	0.0029	0.0012	
	2013	1	4	1	2	2	0	100	0.4379	0.0006	0.0035	0.0012	0.0006	0.0006
	2014	1	4	1	2	1	0	100	0.1045	0.2746	0.4322	0.1236	0.0078	0.0024	
	2014	1	4	1	2	2	0	100	0.1045	0.009	0.023	0.0113	0.0018	0.0006
##  Growth  data  (increment)                                                                         
# nobs_growth                                                                             
20                                                                                
##  Note  SM  used  loewss  regression  for males BBRKC data                                                              
##  and cubic spine to  interpolate 3 sets  of  female  BBRKC data                                                          
# MidPoint  Sex Increment CV                                                                        
  67.5  1 16.510674 0.2                                                                       
  72.5  1 16.454438 0.2                                                                       
  77.5  1 16.398615 0.2                                                                       
  82.5  1 16.343118 0.2                                                                       
  87.5  1 16.287715 0.2                                                                       
  92.5  1 16.23213  0.2                                                                       
  97.5  1 16.176368 0.2                                                                       
  102.5 1 16.123732 0.2                                                                       
  107.5 1 16.069744 0.2                                                                       
  112.5 1 16.013906 0.2                                                                       
  117.5 1 15.957058 0.2                                                                       
  122.5 1 15.900084 0.2                                                                       
  127.5 1 15.843143 0.2                                                                       
  132.5 1 15.786395 0.2                                                                       
  137.5 1 15.732966 0.2                                                                       
  142.5 1 15.68064  0.2                                                                       
  147.5 1 15.628775 0.2                                                                       
  152.5 1 15.577259 0.2                                                                       
  157.5 1 15.526092 0.2                                                                       
  162.5 1 15.475241 0.2                                                                       
##  eof                                                                             
9999        
##	eof																			
9999																				
