#========================================================================================================																																										
#	Gmacs	Main	Data	File	Version	1.1:	BBRKC	Example																																		
#	GEAR_INDEX	DESCRIPTION																																								
#	1	:	Pot	fishery	retained	catch.																																				
#	1	:	Pot	fishery	with	discarded	catch.																																			
#	2	:	Trawl	bycatch																																						
#	3	:	Trawl	survey																																						
#	Fisheries:	1	Pot	Fishery,	2	Pot	Discard,	3	Trawl	by-catch,	4	Tanner bycatch 5 fixed gear																														
#	Surveys:	6	NMFS	Trawl	Survey,	7	BSFRF	Survey																																		
#========================================================================================================																																										
1975	# Start	year																																							
2018	# End	year																																							
7	# Number of seasons																																						
6	# Number of fleets (fishing fleets and surveys)																															
2	# Number of sexes																																						
2	# Number of shell condition types																																				
1	# Number of maturity types																																					
20	# Number of size-classes in the	model																																			
7	# Season recruitment occurs																																						
7	# Season molting and growth occurs																																				
6	# Season to calculate SSB																																					
1	# Season for N output																																					
# maximum size-class (males then females)
20 16
#	size_breaks (a	vector	giving	the	break	points	between	size	intervals,	dim=nclass+1)	
65	70	75	80	85	90	95	100	105	110	115	120	125	130	135	140	145	150	155	160	165																						
#	Natural	mortality	per	season	input	type	(1	=	vector	by	season,	2	=	matrix	by	season/year)																										
2
#	Proportion of the total	natural	mortality to be	applied	each	season	
0.0000  0.2329	0.0000	0.2671	0.000	0.194   0.306   #1975
0.0000  0.2795	0.0000	0.2205	0.000	0.194   0.306	#1976
0.0000  0.3233	0.0000  0.1767	0.000	0.194   0.306	#1977
0.0000  0.2548	0.0000  0.2452	0.000	0.194   0.306	#1978
0.0000  0.2493	0.0000	0.2507	0.000	0.194   0.306	#1979
0.0000  0.2493	0.0000	0.2507	0.000	0.194   0.306	#1980
0.0000  0.2493	0.0000	0.2507	0.000	0.194   0.306	#1981
0.0000  0.2356	0.0000	0.2644	0.000	0.194   0.306	#1982
0.0000  0.2400	0.0000  0.2600	0.000	0.194   0.306	#1983
0.0000  0.2712	0.0000	0.2288	0.000	0.194   0.306	#1984
0.0000  0.2438	0.0000	0.2562	0.000	0.194   0.306	#1985
0.0000  0.2521	0.0000	0.2479	0.000	0.194   0.306	#1986
0.0000  0.2493	0.0000	0.2507	0.000	0.194   0.306	#1987
0.0000  0.2438	0.0000	0.2562	0.000	0.194   0.306	#1988
0.0000  0.2493	0.0000	0.2507	0.000	0.194   0.306	#1989
0.0000  0.3507	0.0000	0.1493	0.000	0.194   0.306	#1990
0.0000  0.3425	0.0000	0.1575	0.000	0.194   0.306	#1991
0.0000  0.3425	0.0000	0.1575	0.000	0.194   0.306	#1992
0.0000  0.3452	0.0000	0.1548	0.000	0.194   0.306	#1993
0.0000  0.3400	0.0000  0.1600	0.000	0.194   0.306	#1994
0.0000  0.3400	0.0000	0.1600	0.000	0.194   0.306	#1995
0.0000  0.3400	0.0000  0.1600	0.000	0.194   0.306	#1996
0.0000  0.3400	0.0000  0.1600	0.000	0.194   0.306	#1997
0.0000  0.3400	0.0000  0.1600	0.000	0.194   0.306	#1998
0.0000  0.3000  0.0000  0.2000	0.000	0.194   0.306	#1999
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2000
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2001
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2002
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2003
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2004
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2005
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2006
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2007
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2008
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2009
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2010
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2011
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2012
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2013
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2014
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2015
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2016
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2017
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2018

# Fishing fleet	names (delimited with: no spaces in names)																																
Pot_Fishery Trawl_Bycatch Bairdi_Fishery_Bycatch Fixed_Gear																																										
# Survey names (delimited with: no spaces in names)
NMFS_Trawl BSFRF
# Are the seasons instantaneous (0) or continuous (1)
1 1 1 1 1 1 1
#1 1 1 1 1 1 1
# Number of catch data frames																																					
7																																										
# Number of rows in each data frame
44	29	29	43	25	25      23
##	————————————————————————————————————————————————————————————————————————————————————	##																																								
##	CATCH	DATA																																								
##	Type of	catch: 1 = retained, 2	= discard, 0 =	total																													
##	Units of catch:	1 = biomass, 2 = numbers																																	
##	for BBRKC Units	are in 1000 mt	for landed & discards.																															
##	————————————————————————————————————————————————————————————————————————————————————	##																																								
##	Male	retained	pot	fishery	(tonnes)												
#year	seas	fleet	sex	obs	cv	type	units	mult	effort	discard_mortality
1997	5	2	0	71.862	    0.10	2	1	1	0	0.8
1998	5	2	0	232.580	    0.10	2	1	1	0	0.8
1999	5	2	0	188.101	    0.10	2	1	1	0	0.8
2000	5	2	0	102.161	    0.10	2	1	1	0	0.8
2001	5	2	0	241.011	    0.10	2	1	1	0	0.8
2002	5	2	0	189.018	    0.10	2	1	1	0	0.8
2003	5	2	0	171.114	    0.10	2	1	1	0	0.8
2004	5	2	0	216.889	    0.10	2	1	1	0	0.8
2005	5	2	0	155.924	    0.10	2	1	1	0	0.8
2006	5	2	0	189.660	    0.10	2	1	1	0	0.8
2007	5	2	0	192.571	    0.10	2	1	1	0	0.8
2008	5	2	0	170.561	    0.10	2	1	1	0	0.8
2009	5	2	0	118.906	    0.10	2	1	1	0	0.8
2010	5	2	0	104.086	    0.10	2	1	1	0	0.8
2011	5	2	0	70.419	    0.10	2	1	1	0	0.8
2012	5	2	0	42.786	    0.10	2	1	1	0	0.8
2013	5	2	0	83.868	    0.10	2	1	1	0	0.8
2014	5	2	0	42.772	    0.10	2	1	1	0	0.8
2015	5	2	0	56.689	    0.10	2	1	1	0	0.8
2016	5	2	0	88.867	    0.10	2	1	1	0	0.8
2017	5	2	0	120.074	    0.10	2	1	1	0	0.8
2018	5	2	0	105.352	    0.10	2	1	1	0	0.8

# Tanner crab fishery discards males	
#year	seas	fleet	sex	obs	cv	type	units	mult	potlifts	discard_mortality
1975	5	3	1	0	0.07	2	1	1	20	0.25
1976	5	3	1	0	0.07	2	1	1	20	0.25
1977	5	3	1	0	0.07	2	1	1	120.031	0.25
1978	5	3	1	0	0.07	2	1	1	88.489	0.25
1979	5	3	1	0	0.07	2	1	1	110.989	0.25
1980	5	3	1	0	0.07	2	1	1	267.154	0.25
1981	5	3	1	0	0.07	2	1	1	87.951	0.25
1982	5	3	1	0	0.07	2	1	1	102.987	0.25
1983	5	3	1	0	0.07	2	1	1	16.239	0.25
1984	5	3	1	0	0.07	2	1	1	52.598	0.25
#1985	5	3	1	0	0.07	2	1	1	0.0001	0.25
#1986	5	3	1	0	0.07	2	1	1	0.0001	0.25
1987	5	3	1	0	0.07	2	1	1	32.75	0.25
1988	5	3	1	0	0.07	2	1	1	53.203	0.25
1989	5	3	1	0	0.07	2	1	1	108.519	0.25
1990	5	3	1	0	0.07	2	1	1	109.371	0.25
1991	5	3	1	1890.9	0.07	2	1	1	152.541	0.25
1992	5	3	1	269.526	0.07	2	1	1	154.976	0.25
1993	5	3	1	117.643	0.07	2	1	1	159.922	0.25
1994	5	3	1	0	0.07	2	1	1	1.042	0.25
#1995	5	3	1	0	0.07	2	1	1	0.0001	0.25
#1996	5	3	1	0	0.07	2	1	1	0.0001	0.25
#1997	5	3	1	0	0.07	2	1	1	0.0001	0.25
#1998	5	3	1	0	0.07	2	1	1	0.0001	0.25
#1999	5	3	1	0	0.07	2	1	1	0.0001	0.25
#2000	5	3	1	0	0.07	2	1	1	0.0001	0.25
#2001	5	3	1	0	0.07	2	1	1	0.0001	0.25
#2002	5	3	1	0	0.07	2	1	1	0.0001	0.25
#2003	5	3	1	0	0.07	2	1	1	0.0001	0.25
#2004	5	3	1	0	0.07	2	1	1	0.0001	0.25
#2005	5	3	1	0	0.07	2	1	1	0.0001	0.25
2006	5	3	1	0	0.07	2	1	1	0.4	0.25
2007	5	3	1	0	0.07	2	1	1	0.5	0.25
2008	5	3	1	0	0.07	2	1	1	0.5	0.25
2009	5	3	1	0	0.07	2	1	1	0.2	0.25
#2010	5	3	1	0	0.07	2	1	1	0.0001	0.25
#2011	5	3	1	0	0.07	2	1	1	0.0001	0.25
#2012	5	3	1	0	0.07	2	1	1	0.0001	0.25
2013	5	3	1	37.4687	0.07	2	1	1	2	0.25
2014	5	3	1	83.5014	0.07	2	1	1	2	0.25
2015	5	3	1	116.404	0.07	2	1	1	139.171	0.25
#2016	5	3	1	0	0.07	2	1	1	0.0001	0.25
#2017	5	3	1	0	0.07	2	1	1	0.0001	0.25
#	Tanner	crab	fishery	discards	females					
#year	seas	fleet	sex	obs	cv	type	units	mult	potlifts	discard_mortality
1975	5	3	2	0	0.07	2	1	1	20	0.25
1976	5	3	2	0	0.07	2	1	1	20	0.25
1977	5	3	2	0	0.07	2	1	1	120.031	0.25
1978	5	3	2	0	0.07	2	1	1	88.489	0.25
1979	5	3	2	0	0.07	2	1	1	110.989	0.25
1980	5	3	2	0	0.07	2	1	1	267.154	0.25
1981	5	3	2	0	0.07	2	1	1	87.951	0.25
1982	5	3	2	0	0.07	2	1	1	102.987	0.25
1983	5	3	2	0	0.07	2	1	1	16.239	0.25
1984	5	3	2	0	0.07	2	1	1	52.598	0.25
#1985	5	3	2	0	0.07	2	1	1	0.0001	0.25
#1986	5	3	2	0	0.07	2	1	1	0.0001	0.25
1987	5	3	2	0	0.07	2	1	1	32.75	0.25
1988	5	3	2	0	0.07	2	1	1	53.203	0.25
1989	5	3	2	0	0.07	2	1	1	108.519	0.25
1990	5	3	2	0	0.07	2	1	1	109.371	0.25
1991	5	3	2	3716.45	0.07	2	1	1	152.541	0.25
1992	5	3	2	708.223	0.07	2	1	1	154.976	0.25
1993	5	3	2	100.927	0.07	2	1	1	159.922	0.25
1994	5	3	2	0	0.07	2	1	1	1.042	0.25
#1995	5	3	2	0	0.07	2	1	1	0.0001	0.25
#1996	5	3	2	0	0.07	2	1	1	0.0001	0.25
#1997	5	3	2	0	0.07	2	1	1	0.0001	0.25
#1998	5	3	2	0	0.07	2	1	1	0.0001	0.25
#1999	5	3	2	0	0.07	2	1	1	0.0001	0.25
#2000	5	3	2	0	0.07	2	1	1	0.0001	0.25
#2001	5	3	2	0	0.07	2	1	1	0.0001	0.25
#2002	5	3	2	0	0.07	2	1	1	0.0001	0.25
#2003	5	3	2	0	0.07	2	1	1	0.0001	0.25
#2004	5	3	2	0	0.07	2	1	1	0.0001	0.25
#2005	5	3	2	0	0.07	2	1	1	0.0001	0.25
2006	5	3	2	0	0.07	2	1	1	0.4	0.25
2007	5	3	2	0	0.07	2	1	1	0.5	0.25
2008	5	3	2	0	0.07	2	1	1	0.5	0.25
2009	5	3	2	0	0.07	2	1	1	0.2	0.25
#2010	5	3	2	0	0.07	2	1	1	0.0001	0.25
#2011	5	3	2	0	0.07	2	1	1	0.0001	0.25
#2012	5	3	2	0	0.07	2	1	1	0.0001	0.25
2013	5	3	2	76.3798	0.07	2	1	1	2	0.25
2014	5	3	2	84.5793	0.07	2	1	1	2	0.25
2015	5	3	2	220.311	0.07	2	1	1	139.171	0.25
#2016	5	3	2	0	0.07	2	1	1	0.0001	0.25
#2017	5	3	1	0	0.07	2	1	1	0.0001	0.25
##	Fixed gear	crab	fishery	discards	(t, without applying to handling mortality rate)	
1996	5	4	0	82.859	0.10	2	1	1	0	0.5
1997	5	4	0	44.979	0.10	2	1	1	0	0.5
1998	5	4	0	36.916	0.10	2	1	1	0	0.5
1999	5	4	0	100.242	0.10	2	1	1	0	0.5
2000	5	4	0	9.446	0.10	2	1	1	0	0.5
2001	5	4	0	70.553	0.10	2	1	1	0	0.5
2002	5	4	0	58.382	0.10	2	1	1	0	0.5
2003	5	4	0	25.351	0.10	2	1	1	0	0.5
2004	5	4	0	30.422	0.10	2	1	1	0	0.5
2005	5	4	0	39.802	0.10	2	1	1	0	0.5
2006	5	4	0	39.134	0.10	2	1	1	0	0.5
2007	5	4	0	64.655	0.10	2	1	1	0	0.5
2008	5	4	0	31.158	0.10	2	1	1	0	0.5
2009	5	4	0	11.616	0.10	2	1	1	0	0.5
2010	5	4	0	4.736	0.10	2	1	1	0	0.5
2011	5	4	0	21.706	0.10	2	1	1	0	0.5
2012	5	4	0	36.895	0.10	2	1	1	0	0.5
2013	5	4	0	110.970	0.10	2	1	1	0	0.5
2014	5	4	0	237.654	0.10	2	1	1	0	0.5
2015	5	4	0	154.846	0.10	2	1	1	0	0.5
2016	5	4	0	58.598	0.10	2	1	1	0	0.5
2017	5	4	0	260.908	0.10	2	1	1	0	0.5
2018	5	4	0	296.214	0.10	2	1	1	0	0.5
##	————————————————————————————————————————————————————————————————————————————————————	##																																								
##	RELATIVE	ABUNDANCE	DATA																																							
##	Units	of	Abundance:	1	=	biomass,	2	=	numbers																																	
##	TODO:	add	column	for	maturity	for	terminal	molt	life-histories																																	
##	for	BBRKC	Units	are	in	1000	mt.																																			
##	————————————————————————————————————————————————————————————————————————————————————	##																																								
##	Number	of	relative	abundance	indicies																																					
2																																										
##	Number	of	rows	in	each	index																																				
102
#	Survey	data	(abundance	indices,	units	are	1000	mt)																																		
#Index Year	Season	Fleet	Sex	Abundance	CV	Units
1	1975	1	5	1	0	133084	0.193	1
1	1976	1	5	1	0	256362.2	0.207	1
1	1977	1	5	1	0	232538.7	0.144	1
1	1978	1	5	1	0	199542.2	0.152	1
1	1979	1	5	1	0	102448.2	0.164	1
1	1980	1	5	1	0	166524.3	0.221	1
1	1981	1	5	1	0	68294.4	0.19	1
1	1982	1	5	1	0	72296.3	0.251	1
1	1983	1	5	1	0	34761.9	0.214	1
1	1984	1	5	1	0	96418.3	0.606	1
1	1985	1	5	1	0	26819.4	0.159	1
1	1986	1	5	1	0	40549.3	0.42	1
1	1987	1	5	1	0	46769.1	0.209	1
1	1988	1	5	1	0	35373.6	0.228	1
1	1989	1	5	1	0	42357.7	0.232	1
1	1990	1	5	1	0	38727.8	0.242	1
1	1991	1	5	1	0	66528	0.443	1
1	1992	1	5	1	0	25096.2	0.176	1
1	1993	1	5	1	0	35670.6	0.198	1
1	1994	1	5	1	0	23002.5	0.174	1
1	1995	1	5	1	0	27251.9	0.266	1
